time	searchRound	searchTerm	superordinate	subordinate_positive	N_positive	mean_positive	sd_positive	subordinate_negative	N_negative	mean_negative	sd_negative	subordinate_neutral	N_neutral	mean_neutral	sd_neutral	subordinate_ambivalent	N_ambivalent	mean_ambivalent	sd_ambivalent
2022-05-30T15:08:20Z	1	Ablenkung	Ablenkungspotential		0	NA	NA	Ablenkungspotenzial // Ablenkung	2	-1	0		0	NA	NA		0	NA	NA
2022-05-30T15:08:49Z	2	abwechslung|paradigmen	Abwechslungsarmut		0	NA	NA	abwechslung // paradigmenvielfalt	2	-2	0		0	NA	NA		0	NA	NA
2022-05-30T15:09:06Z	3	Abwesenheit|Fehlzeiten	Abwesenheitsregelungen		0	NA	NA	Abwesenheitsregelungen // Fehlzeiten-Regelungen	2	-2.5	0.71		0	NA	NA		0	NA	NA
2022-05-30T15:09:53Z	4	viele unzufrieden	Lehrklima		0	NA	NA	viele unzufrieden	1	-2	NA		0	NA	NA		0	NA	NA
2022-05-30T15:10:14Z	5	Alter|unter studierend	Alter		0	NA	NA	Mein Alter // Alter 26 // heterogenität unter studierend	3	-2.33	0.58		0	NA	NA		0	NA	NA
2022-05-30T15:11:35Z	6	Anonymität|dennoch eher|Distanz	Anonymität		0	NA	NA	Anonymität_negative // dennoch eher unpersönlich // Distanz/Anonymität	3	-1	0		0	NA	NA		0	NA	NA
2022-05-30T15:13:33Z	7	asynchrone Lehre|asynchrone Materialien|viel asy|teilw.|sehr viel asy|Aufgezeichnete	asynchrone Lehre		0	NA	NA	asynchrone Lehre_negative // Aufgezeichnete Vorlesungen // asynchrone Materialien // teilw. nur Audios	7	-2.14	0.69		0	NA	NA		0	NA	NA
2022-05-30T15:14:42Z	8	Atmosphäre|umgebungs|angespannte	Atmosphäre		0	NA	NA	Atmosphäre am Institut // umgebungsgestaltung // angespannte Stimmung	3	-1.33	0.58		0	NA	NA		0	NA	NA
2022-05-30T15:18:44Z	9	mehr Aufwand|Aufwand|lernaufwand|Pensum|Arbeitsaufwand|Relativ viel|vollgestopft|zu hoch|großer Aufwand|Viel auf einmal|Stoffmenge|Viel Lerninhalt|viel Lernstoff|Viel Stoff|viel zu tun|viele Inhalte|Zeitraubend|Zeit Aufwand	Aufwand		0	NA	NA	"Sehr ""vollgestopft"" in // großer Aufwand Studierende // Viel Stoff // Arbeitsaufwand für Studierende // Viel Lerninhalt // Zeitraubend // Aufwand_negative // viel Lernstoff // viele Inhalte // Pensum // viel zu tun // Viel auf einmal // Stoffmenge"	16	-1.56	0.63		0	NA	NA		0	NA	NA
2022-05-30T15:21:27Z	10	Sorgen|Depressions|Gesundheit|ungesund|Auswirkung|Erschöpfung|Schlafprobleme|Freude geht verloren	Auswirkung auf Psyche		0	NA	NA	Auswirkung auf Psyche_negative // Depressionsrisiko // allgemeine Sorgen // Auswirkungen auf Psyche // Schlafprobleme // ungesund // Freude geht verloren // Gesundheitsschädigend	8	-2.5	0.76		0	NA	NA		0	NA	NA
