time	searchRound	searchTerm	superordinate	subordinate_positive	N_positive	mean_positive	sd_positive	subordinate_negative	N_negative	mean_negative	sd_negative	subordinate_neutral	N_neutral	mean_neutral	sd_neutral	subordinate_ambivalent	N_ambivalent	mean_ambivalent	sd_ambivalent
2022-05-31T10:21:10Z	1	menge an Lernstoff|Initiationsaufwand|Zeitintensiv|Umfang	Arbeitsaufwand		0	NA	NA		0	NA	NA		0	NA	NA	menge an Lernstoff // Umfang // Initiationsaufwand // Zeitintensiv	4	10	0
2022-05-31T10:24:16Z	2	suche nach Hilfe|auf Nachfrage|breites Angebot	Hilfsbereitschaft		0	NA	NA		0	NA	NA		0	NA	NA	auf Nachfrage // suche nach Hilfe // breites Angebot	3	10	0
2022-05-31T10:25:20Z	3	Klausuren	Klausuren		0	NA	NA		0	NA	NA		0	NA	NA	Klausurenphasen // geschriebene Klausuren	2	10	0
2022-05-31T10:27:43Z	4	Konkurrenz|Überflieger|Ehrgeizige	Kompetitivität		0	NA	NA		0	NA	NA		0	NA	NA	Ehrgeizige Kommiliton:innen // Überflieger	2	10	0
2022-05-31T10:29:11Z	5	Lehrkonzepte|Lehrmethoden|Stundengestaltung	Lehrstil		0	NA	NA		0	NA	NA		0	NA	NA	Stundengestaltung // Lehrkonzepte // Lehrmethoden	3	10	0
2022-05-31T10:29:57Z	6	vermittlung der inhalte|Vorlesungsstil|Didaktik	Lehrstil		0	NA	NA		0	NA	NA		0	NA	NA	vermittlung der inhalte // Didaktik	2	10	0
2022-05-31T10:30:40Z	7	"art der wissensvermittlung|Sehr ""Pädagogisch"""	Lehrstil		0	NA	NA		0	NA	NA		0	NA	NA	"art der wissensvermittlung // Sehr ""Pädagogisch"""	2	10	0
2022-05-31T10:32:24Z	8	selbstinitiierter Druck|Notendominanz	Leistungsdruck		0	NA	NA		0	NA	NA		0	NA	NA	Notendominanz // selbstinitiierter Druck	2	10	0
2022-05-31T10:33:18Z	9	Lerneffekt|POrüfungsvorbereitung	Lernen		0	NA	NA		0	NA	NA		0	NA	NA	POrüfungsvorbereitung // Lerneffekt	2	10	0
2022-05-31T10:34:44Z	10	guter Bachelorabschluss|Voraussetzung für Masterplatz	Masterplatzvergabe		0	NA	NA		0	NA	NA		0	NA	NA	guter Bachelorabschluss // Voraussetzung für Masterplatz	2	10	0
2022-05-31T10:36:28Z	11	Materialien|Literatur und Folien	Materialien		0	NA	NA		0	NA	NA		0	NA	NA	Literatur und Folien // Bereitstellung der Materialien	2	10	0
