time	searchRound	stringDistance	superordinate	subordinate_positive	N_positive	mean_positive	sd_positive	subordinate_negative	N_negative	mean_negative	sd_negative	subordinate_neutral	N_neutral	mean_neutral	sd_neutral	subordinate_ambivalent	N_ambivalent	mean_ambivalent	sd_ambivalent
2022-05-27T09:32:00Z	1	5	empfundener Leistungsdruck		0	NA	NA	empfundener Leistungsdruck_negative	16	-2.19	0.83	empfundener Leistungsdruck_neutral	45	0	0		0	NA	NA
2022-05-27T09:32:02Z	2	5	allgemeines Lehrklima		0	NA	NA	allgemeines Lehrklima_negative	1	-1	NA	allgemeines Lehrklima_neutral	48	0	0		0	NA	NA
2022-05-27T09:32:03Z	3	5	empfundene Unterstützung		0	NA	NA	empfundene Unterstützung_negative	2	-1	0	empfundene Unterstützung_neutral	51	0	0		0	NA	NA
2022-05-27T09:32:09Z	4	5	NC		0	NA	NA		0	NA	NA		0	NA	NA	NC_ambivalent	2	10	0
2022-05-27T09:32:36Z	5	5	Austausch	Austausch	2	2	0		0	NA	NA	Austausch	1	0	NA		0	NA	NA
2022-05-27T09:33:01Z	6	5	Hilfsbereitschaft	Hilfsbereitschaft	5	2.2	1.1		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-27T09:34:07Z	7	5	Eigenverantwortung		0	NA	NA	Zeitmanagement	1	-1	NA		0	NA	NA		0	NA	NA
2022-05-27T09:34:10Z	8	5	empfundene Unterstützung	empfundene Unterstützung_positive	6	1.17	0.41	empfundene Unterstützung_negative	2	-1	0		0	NA	NA		0	NA	NA
2022-05-27T09:34:22Z	9	5	Praktika	Praktika_positive	2	2.5	0.71		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-27T09:35:06Z	10	5	Lernmotivation	Lernmotivation_positive	2	1.5	0.71		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-27T09:35:59Z	11	5	Dozent*innen	Bemühung	1	3	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-27T09:37:02Z	12	5	Geld		0	NA	NA	Geld_negative	1	-1	NA		0	NA	NA		0	NA	NA
2022-05-27T09:37:06Z	13	5	Seminare	Seminare_positive	7	2.14	0.69	Seminare_negative	2	-1	0		0	NA	NA		0	NA	NA
2022-05-27T09:38:13Z	14	5	Fremdbestimmtheit		0	NA	NA	Praktikumsplätze	1	-3	NA		0	NA	NA		0	NA	NA
