time	searchRound	stringDistance	superordinate	subordinate_positive	N_positive	mean_positive	sd_positive	subordinate_negative	N_negative	mean_negative	sd_negative	subordinate_neutral	N_neutral	mean_neutral	sd_neutral	subordinate_ambivalent	N_ambivalent	mean_ambivalent	sd_ambivalent
2022-05-25T12:50:40Z	1	2	empfundener Leistungsdruck		0	NA	NA	empfundener Leistungsdruck	16	-2.19	0.83	empfundener Leistungsdruck	45	0	0	empfundener Leistungsdruck // Empfundener Leistungsdruck	3	10	0
2022-05-25T12:50:49Z	2	2	empfundene Unterstützung	empfundene Unterstützung	6	1.17	0.41	Empfundene Unterstütung // empfundene Unterstützung	2	-1	0	empfundene Unterstützung	51	0	0	empfundene Unterstützung	5	10	0
2022-05-25T12:52:58Z	3	2	NC	NC	1	2	NA	NC	7	-2.29	0.76		0	NA	NA	NC	2	10	0
2022-05-25T12:53:10Z	4	2	Zukunftsangst		0	NA	NA	Zukunftsangst // Zukunftsängste	6	-2.67	0.52		0	NA	NA		0	NA	NA
2022-05-25T12:53:16Z	5	2	Praktika	Praktika // Praktikum	2	2.5	0.71		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-25T12:53:40Z	6	2	Lernmotivation	Lernmotivation	2	1.5	0.71		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-25T12:54:02Z	7	2	sozialer Vergleich		0	NA	NA	Vergleich mit anderen	3	-1	0		0	NA	NA	Vergleich mit Anderen	1	10	NA
2022-05-25T12:54:10Z	8	2	Stress		0	NA	NA	stress // Stress	9	-2.22	0.97		0	NA	NA		0	NA	NA
2022-05-25T12:54:19Z	9	2	Seminare	Seminar // Seminare	6	2	0.63	Seminar // Seminare	2	-1	0	Seminare	5	0	0	Seminare	2	10	0
2022-05-25T12:54:36Z	10	2	Kommiliton*innen	Komilitonen // Kommilitonen	9	2.33	0.87		0	NA	NA		0	NA	NA	Kommilitonen	2	10	0
2022-05-25T12:54:47Z	11	2	Vorlesungen	Vorlesungen	2	1	0	Vorlesung // Vorlesungen	3	-1.67	0.58	Vorlesungen	5	0	0	Vorlesung	2	10	0
2022-05-25T12:55:20Z	12	2	Dozent*innen	Dozenten & Seminare // Dozenten Seminare	2	2.5	0.71		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-25T12:55:41Z	13	2	Gruppenarbeit	Gruppenarbeit // Gruppenarbeiten	3	1.67	1.15		0	NA	NA		0	NA	NA	Gruppenarbeit	1	10	NA
2022-05-25T12:56:18Z	14	2	Lerngruppen	Lerngruppe // Lerngruppen	11	2.36	0.81	Lerngruppen	1	-3	NA		0	NA	NA		0	NA	NA
2022-05-25T12:56:45Z	15	2	Studiumsinhalt	Inhalt // Inhalte	2	2.5	0.71	Inhalt	1	-1	NA		0	NA	NA		0	NA	NA
2022-05-25T12:57:36Z	16	2	Dozent*innen		0	NA	NA		0	NA	NA	Lehrpersonal // Lehrpersonen	2	0	0		0	NA	NA
2022-05-25T12:57:47Z	17	2	extrinsische Motivation		0	NA	NA	extrinsische Motivation // Extrinsische Motivation	2	-2.5	0.71		0	NA	NA		0	NA	NA
2022-05-25T12:58:34Z	18	2	Studiumsinhalt	interessante Studieninhalte	1	3	NA	uninteressante Studieninhalte	1	-1	NA		0	NA	NA		0	NA	NA
2022-05-25T12:58:44Z	19	2	gegenseitige Unterstützung	gegenseitige Unterstützung // Gegenseitige Unterstützung	2	2.5	0.71		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-25T12:59:03Z	20	2	Online-Lehre 		0	NA	NA		0	NA	NA		0	NA	NA	online Studium // Online-Studium	2	10	0
