time	searchRound	searchTerm	superordinate	subordinate_positive	N_positive	mean_positive	sd_positive	subordinate_negative	N_negative	mean_negative	sd_negative	subordinate_neutral	N_neutral	mean_neutral	sd_neutral	subordinate_ambivalent	N_ambivalent	mean_ambivalent	sd_ambivalent
2022-05-28T08:42:27Z	1	Interdisziplinarität	Abwechslung	Interdisziplinarität	1	3	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T08:43:01Z	2	ermutigend	Lehrklima	ermutigend	1	1	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T08:43:14Z	3	positivität	Lehrklima	positivität	1	1	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T08:43:42Z	4	Faire Anforderungen	Anforderungen	Faire Anforderungen	1	3	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T08:44:04Z	5	Kognitiv fördernd	Anforderungen	Kognitiv fördernd	1	3	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T08:44:25Z	6	Anspruchsvoll	Anforderungen	Anspruchsvoll	1	2	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T08:44:46Z	7	Leistungsniveau	Anforderungen	Leistungsniveau	1	2	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T08:45:17Z	8	Arbeitsaufwand	Arbeitsaufwand	Arbeitsaufwand // weniger Arbeitsaufwand	2	1.5	0.71		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T08:45:38Z	9	Arbeitsaufwand	Aufwand		0	NA	NA	Arbeitsaufwand für Studierende	1	-1	NA		0	NA	NA		0	NA	NA
2022-05-28T08:46:04Z	10	Lernpensum machbar	Arbeitsaufwand	Lernpensum machbar	1	2	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T08:46:44Z	11	Asynchrone Inhalte	asynchrone Lehre	Asynchrone Inhalte	1	1	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T08:47:05Z	12	Video-Upload	asynchrone Lehre	Video-Upload	1	3	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T08:47:50Z	13	man kann zurückspulen	asynchrone Lehre	man kann zurückspulen	1	2	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T08:48:28Z	14	Lernatmosphäre	Atmosphäre	Lernatmosphäre	1	2	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T08:49:05Z	15	Gemeinschaft am Institut	Atmosphäre	Gemeinschaft am Institut	1	1	NA		0	NA	NA		0	NA	NA		0	NA	NA
